,0
1361,46395.14
1362,44850.91
1363,45173.69
1364,46025.24
1365,44940.73
1366,47111.52
1367,48121.41
1368,47737.82
1369,47299.98
1370,48292.74
1371,47241.75
1372,43015.62
1373,40734.38
1374,43543.61
1375,44865.26
1376,42810.57
1377,42670.64
1378,43160.9
1379,42147.35
1380,41026.54
1381,41524.28
1382,43824.1
1383,48141.61
1384,47634.9
1385,48200.01
1386,49224.94
1387,51471.99
1388,55315
1389,53785.22
1390,53951.43
1391,54949.72
1392,54659
1393,57471.35
1394,55996.93
1395,57367
1396,57347.94
1397,61672.42
1398,60875.57
1399,61528.33
1400,62009.84
1401,64280.59
1402,66001.41
1403,62193.15
1404,60688.22
1405,61286.75
1406,60852.22
1407,63078.78
1408,60328.81
1409,58413.44
1410,60575.89
1411,62253.71
1412,61859.19
1413,61299.8
1414,60911.11
1415,63219.99
1416,62896.48
1417,61395.01
1418,60937.12
1419,61470.61
1420,63273.59
1421,67525.83
1422,66947.66
1423,64882.43
1424,64774.26
1425,64122.23
1426,64380
1427,65519.1
1428,63606.74
1429,60058.87
1430,60344.87
1431,56891.62
1432,58052.24
1433,59707.51
1434,58622.02
1435,56247.18
1436,57541.27
1437,57138.29
1438,58960.36
1439,53726.53
1440,54721.03
1441,57274.88
1442,57776.25
1443,56950.56
1444,57184.07
1445,56480.34
1446,53601.05
1447,49152.47
1448,49396.33
1449,50441.92
1450,50588.95
1451,50471.19
1452,47545.59
1453,47140.54
1454,49389.99
1455,50053.9
1456,46702.75
1457,48343.28
1458,48864.98
1459,47632.38
1460,46131.2
1461,46834.48
1462,46681.23
1463,46914.16
1464,48889.88
1465,48588.16
1466,50838.81
1467,50820
1468,50399.66
1469,50775.49
1470,50701.44
1471,47543.74
1472,46464.66
1473,47120.87
1474,46216.93
1475,47722.65
1476,47286.18
1477,46446.1
1478,45832.01
1479,43451.13
1480,43082.31
1481,41566.48
1482,41679.74
1483,41864.62
1484,41822.49
1485,42729.29
1486,43902.66
1487,42560.11
1488,43059.96
1489,43084.29
1490,43071.66
1491,42201.62
1492,42352.12
1493,41660.01
1494,40680.91
1495,36445.31
1496,35071.42
1497,36244.55
1498,36660.35
1499,36958.32
1500,36809.34
1501,37160.1
1502,37716.56
1503,38166.84
1504,37881.76
1505,38466.9
1506,38694.59
1507,36896.36
1508,37311.61
1509,41574.25
1510,41382.59
1511,42380.87
1512,43839.99
1513,44042.99
1514,44372.72
1515,43495.44
1516,42373.73
1517,42217.87
1518,42053.66
